Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
in kii				once upon a time			érase una vez					In kii ntsio in ñasuii luu .	One upon a time liver was a little boy.	Érase una vez vivía un niño.
ma				don't	don't cry		no	no lloras				— Ma nta'iu , ra michu'mi naka'ncha yu tutu , ra nano'o , naku'un yu kuntasya'a yo ve'u , ra miki ka kaku ka'nu saa .	Don't cry, I'm chopping wood now. Let's go home, I'll go and I can drop you off at your house.....	No lloras, orita estoy cortando madera. Vamos a casa y yo iré y te dejo a tu casa.....
nchii				what			que					— ¿ Nchii sa'u ña nta'iu ?	Why are you crying?	¿Porqué estás llorando?
nta'i yu				I'm crying			lloro	estoy llorando				— Nta'i yu vari niyu'u ta yu .	I'm crying because I'm scared.	Estoy llorando por qué tengo miedo.
saan so				always			siempre					Saan so ta'an ta inia ka'nia saa .	He always wanted to kill birds.	Siempre quiería matar pájaros.
sara				then			y					Sara in kii ra ntsinia in saa luu vii ta tumi ti , ra ntantuki uli ña ra nikitsai ki'nia ti .	Then one day he saw a little bird with very pretty feathers, he looked for his slingshot and started to shoot it.	Y un día vió un pájaro pequeño con plumas muy bonitas, buscó su resortera y empezó a tirarle.
sara				then			y entonces					Sara kunkuaa ra saa luu ka ntava ti kua'an ti .	And then it was getting dark and the little bird flew and went away.	Y entonces oscurecía y el pájaro pequeño voló y se fue.
sara				and then			y entonces					Sara ñasuii luu ka nikintoi ika ñantu'i nta'ia vari nikuaa .	Then the little boy fell and sat down crying because it was night time.	Y entonces el niño pequeño se cayó llorando porque estaba la noche.
ta				when			cuando					Ta ntsinia in saa ra ntanai ti kua'in saan ni .	Whenever he would see a bird, he would always follow it.	Cuando veía un pájaro, so siempre siguería.
chaa				man			hombre					Sara in chaa ntuku tutú ntsini so'o ra ña nta'ia ra ntsa'an ra ntsanche'e ra nuu ñantu'i .	Then a man looking for wood heard the crying and came up to and saw where the boy was sitting down.	Y un hombre buscando madera oyó los gritos y vinó y vió dónde el niño se estaba sentado.
ika				there			allí					Sara ñasuii luu ka nikintoi ika ñantu'i nta'ia vari nikuaa .	Then the little boy fell and sat down crying because it was night time.	Y entonces el niño pequeño se cayó llorando porque estaba la noche.
in				a			un					In kii ntsio in ñasuii luu .	One upon a time liver was a little boy.	Érase una vez vivía un niño.
in kii				one day			un día					Sara in kii ra ntsinia in saa luu vii ta tumi ti , ra ntantuki uli ña ra nikitsai ki'nia ti .	Then one day he saw a little bird with very pretty feathers, he looked for his slingshot and started to shoot it.	Y un día vió un pájaro pequeño con plumas muy bonitas, buscó su resortera y empezó a tirarle.
nta'a in yutu				the branch of a tree			la rama de un árbol					Sara saa luu ka ntava ti , ntsikuntu'u ti nta'a in yutu ra ntsa'an tuku ñasuii luu ka , niki'ni tuki ti ra niyu'u saa luu ka .	Then the little bird flew away. It was sitting on a tree branch and the little boy came back and again shot at it again as he approached the little bird.	Y el pájaro pequeño pájaro salió volando. Se sentaba en una rama de árbol y el niño pequeño volvió y le tiró de nuevo cuando acercaba el pájaro pequeño.
in		is this "iin" 'pain'?		?								Sara ta ntuu kii xchaan nta'i in ñasuii luu ka ñantu'i .	Then when it was morning the next day,....	Y cuando estaba la mañana el día siguente......
ta'an ta inia		Also a multi-word expression "ta'an ta ini" Also a multi-word expression "ta'an ta ini"		wants	desires		quiere					Saan so ta'an ta inia ka'nia saa .	He always wanted to kill birds.	Siempre quiería matar pájaros.
ka'nia				he kills			mata					Saan so ta'an ta inia ka'nia saa .	He always wanted to kill birds.	Siempre quiería matar pájaros.
ka'nia				kills			mata					Sara ñasuii luu ka niyu'u xiin ra miki ka nitsa'in ka'nia saa .	Then the very scared little boy never returned to kill birds ever again.	Y el niño pequeño muy asustado nunca jamás volvió para matar pájaros.
ka'nu				big			grande					— Ma nta'iu , ra michu'mi naka'ncha yu tutu , ra nano'o , naku'un yu kuntasya'a yo ve'u , ra miki ka kaku ka'nu saa .	Don't cry, I'm chopping wood now. Let's go home, I'll go and I can drop you off at your house.....	No lloras, orita estoy cortando madera. Vamos a casa y yo iré y te dejo a tu casa.....
kaku		so does the placement of "kaka" and a potential object make the phrase into "wander after (X)"? so does the placement of "kaka" and a potential object make the phrase into "wander after (X)"?		you walk after	you wonder off after		caminas					— Ma nta'iu , ra michu'mi naka'ncha yu tutu , ra nano'o , naku'un yu kuntasya'a yo ve'u , ra miki ka kaku ka'nu saa .	Don't cry, I'm chopping wood now. Let's go home, I'll go and I can drop you off at your house.....	No lloras, orita estoy cortando madera. Vamos a casa y yo iré y te dejo a tu casa.....
