Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ika				there			allí					Ika nikuacha ta lakuku ka sara nikuu ntanta'i .	There the mourning dove became very happy and then was able to get married.	Allí la tortolita se puso muy feliz y pues podía casarse.
in kii				one day			un día					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
ma				don't	don't cry		no	no llores				— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
mee				I			yo					— Mee nakua'a sa'ma ñaña'á kuntanta'a tsi ntsitsa .	I can give clothes clothes, the bride will get married with shoes.	Puedo dar ropas, la novia se casará con zapatos.
nchii ntu'u				what is happening			que pasa					— ¿ Nchii ntu'u ña tsaku ?	Why are you crying?	¿Porqué estas llorando?
sara				then			pues					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
sara				then			y					Sara nikachi saa kua'a :	Then the red bird said:	Y el pájaro rojo dijó:
tsaku				I'm crying			estoy llorando					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
				The mourning dove and hummingbird's wedding party										
cha				but	and		pero	y				In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
chaa				groom			novio					— Mee nakua'a sa'ma chaa kuntanta'a .	I will give clothes for the groom to get married in.	Yo puedo dar ropas para el novio.
cho'o				nest			nido					— Mee nakua'a cho'o na kuntanta'a .	I can give a nest for them to get married in.	Yo puedo les dar un nido para casarse.
ntakani inia				worried			se preocupaba					Sara ntakani inia nixi kusa'i cha nikitsai tsakui ñantu'i .	Then it was worried about how to make it happen and then began to cry while sitting there.	Pues se preocupaba de como podría hacerlo, y empezo a llorar sentado allí.
katsi na				they eat			comen					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
in kii				one day			un día					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
ko'o na				they drink			beben					— Mee nakua'a ña ko'o na tsi ña katsi na .		Yo les voy a dar bebida y alimentos.
koo xu'in				had no money			no tuve dinero					In kii ra in lakuku kunia tanta'i tsi in ncho'o , cha koo xu'in sa'i viko .	One day there was a mourning dove that wanted to get married to a hummingbird but he had no money to have a party.	Un día una tortolita quiería casarse con un colibrí pero no tenía dinero para tener una fiesta.
koo				there isn't			no hay					— Tsaku vari kuni ta yu tanta'a , cha koo xu'un .	I'm crying because I really want to get married but there is no money.	Estoy llorando porque quiero realmente casarme pero no hay dinero.
koo va'u		
                  "koo va'a" 'live well' (what is "koo" here? is it the same as 'not be/without'?)"koo va'a" 'live well' (what is "koo" here? is it the same as 'not be/without'?)		you live well			vives bien					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
ma kuaku ku				don't cry	you cry		no llores	lloras				— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
kua'a				red			rojo					Sara nikachi saa kua'a :	Then the red bird said:	Y el pájaro rojo dijó:
ma kuaku ku				don't cry	you cry		no llores	lloras				— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
kue saa				the birds			los pájaros llegaron	los pájaros				Sara nikitsaa kue saa yukú luu ka , sara nintaka tu'un kueti ña :	Then the birds arrived at the small woods and then they asked him: 	Pues llegaron los pájaros al pequeño bosque y le preguntaron: 
nti'i so kue				all of us			todos nosotros					— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
nachinchee kue				we will help			ayudaramos	ayudemos				— Ma kuaku ku ra nti'i so kue nachinchee kue yo , sara tanta'u takua koo va'u .	Don't cry, all of us will help you, then you'll get married so that you can live well.	No llores, todos nosotro te ayudaramos, pues te casas para que puedes vivir bien.
