Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha yoo ichi kuena chi'i tata savi kitsaa na tsa'ncha na tsi ntasatutu na ntayo'o cha ntasava'a na ñu'u takua chi'i na itu sara kua marsu a avri ra nikitsaa na ntata'vi na ñu'u sara tsani na tsichi tsi stiki takua chi'i na tata .	And in the dry season they water the crops; the rains come, they chop and collect corn and they prepare the ground for them to water the corn field, and then around March to April they began to till the earth and then dig ditches to water the crops.	Y en la estación seca, regan los cultivos, empieza la lluvia, cortan y recogen el maiz y preparan la tierra para que riegan el maizal y aproximadamente marzo o avril, empiezan labrar la tierra y cavan acequias para regar los cultivos.
chi'i na				they water	they pour		la gente riegan					Chi'i na chikuii nuu ñu'u sara nchatu na kuaa tsa'un kii .	The people water the ground and then they wait about fifteen days.	La gente riegan la tierra y esperan aproximadamente quinze días.
chi'i na				they water			riegan					Chi'i na tata a skana na ntiki kulantru a inka ntiki kue yuku ña tsatsi na .	They water the crops or sew cilantro seeds, or seeds for other crops that people eat.	Regan los cultivos o sembran semillas de cilantro o semillas para otros cultivos que la gente come.
chi'i na chikuii				they water	they pour water		regan					Chi'i na chikuii mancha tsikuin na ta nikitsaa savi .	They water until they stop when the rains begin.	Regan hasta que dejan cuando empieza la lluvia.
kani na				they hit			golpean					Kani na ntuchi , satutu na ntayo'o katsi kue lurru , stiki , kiti tsi ntikachi .	They hit the beans, they collect the dry parts of the corn plants that the donkeys, bulls, horses, and sheep eat.	Golpean los frijoles, recogen las hojas secas que comen los burros, toros, caballos, y ovejas
                  
katsi na				they eat			comen					Katsi na nii sara chika vá'a na ña .	They eat corn and then they store it away.	Coman el maiz y pues lo guardan.
kitsaa na				people begin			la gente comiezan					Kitsaa na sachuun na su'a :	People begin their work like this:	La gente empiezan su trabajo así:
kivi				?								Kivi stiki ntata'vi ti ñu'u sara ntasa'a na uvi yata .		
kua'a nchu'a				many	a lot of		mucha					Kua'a nchu'a kue nivi chi'i na tata savi , tu'un na ku'u sara chika na tata tsa'a itu .	A lot of people pour fertilizer (?), pull weeds, and then apply the fertilizer to the roots of the corn plants.	Mucha gente echan, tiran malas hierbas y ponen los cultivos en el campo.
kue				doesn't	it doesn't rain		no	no llueve				Kue kuun savi cha tsika ta tachi , cha yoko nchu'a so .	It doesn't rain and it's very windy and it's very hot.	No llueve y es muy ventoso, y hace calor.
kue yoo yo'o				these months			estes meses					Kue yoo yo'o kuun nchu'a savi .	These months it rains a lot.	En estes meses llueve mucho.
kue				not			no					Kue kuun savi .	It doesn't rain.	No llueve.
				people			la gente					Kue nivi skee na itu .	The people harvest the field.	La gente cosechan el campo.
kuena				they			ellos					Kuena yee kue ñuu yoko cha nuu yee chikuii sachuun kuena tata na'a .	?	?
kuena yee ñuu				the people of the town			la gente del pueblo					Kuena yee ñuu vitsi xiko na nche'e , nche'e nkutsi , makuxi , nchichi , mi'ncha , naña , tintuyu , ntua ña'mi tsi ña'mi .	The people who live in town (?) sell peaches, (?), (?), (?), prickly pears, (?), squash, vegitable yams and yams.	La gente que viven en el pueblo (?) vendan duraznos, (?), (?), (?), ñopales, (?), (?), ñames verduras y ñames.
ntachi'i na				they till			labran					Ntachi'i na kuai nuu ma nita'via sara tsoso tuku na .	They till around the area where the crops have not yet bloomed, then they (?) again.	Labran alrededor donde no floreció los cultivos, y pues (?).
nuu yee				?			?					Nuu yee chikuii tsaki na aju , tikumi , kulantru , lechuga tsi lenteja .		
saani				and then			y entonces					Saani tsaki kuena kue kulantru , aju , zanahoria , ntua ña'mi , tikumi , lechuga , ntua kua'a , lima , tikuaa , tinana , tinana soo tsi mi'ncha .	And then they plant cilantro, garlic, carrots, yams, onion, lettuce, gourds, limes, oranges, tomatoes, (?) and prickly pears.	Y entonces plantan cilantro, ajo, zanahorias, ñames, cebollas, lechuga, guaje, calabaza, limas, naranjas, tomates, (?) y ñopales. 
saani				additionally			además					Saani tsa'nu tuku kue yuku ña tsatsi na tono yua , minu , yua tayoo , yua tikumi tsi mastansia .	Additionally, we also grow herbs that people eat like herbs, mint, (tayoo - type of herb), (yua tikumi - type of herb), and mustard.	Además crecemos tambien hierbas que la gente comen como hierbas, menta, (tayoo), (yua tikumi), y mostaza.
saani				and then			entonces					Saani kua'a tuku na skana ntuchi ncha'i tsi ntuchi kuitsi .	And then they (?) again, sew black bean and (?) beans.	Entonces (?) de nuevo, sembran frijoles negros y frijoles (?).
saani				and also			y también					Saani tsa'nu tuku kue yuku ña tsatsi na tono yua tayoo , ntua isu , ntua taya'a tsi tikua ñu'u .	And also we again grow crops that people eat such as (?), (?), (?), and (?).	Y también, crecemos de nuevo cultivos que la gente comen como (?), (?), (?), y (?).
tsani 				they dig			removen					Tsani na tsichi tsi stiki a tsani na ta merka .	They make ditches with a bull or make marks(?).	
				?			?					Tsoso na a chi'i na chikuii .		
tu'un na				they pull	they pull weeds		arrancan	arrancan malas hierbas				Tu'un na ku'u , chika na tata ra tava na yata iin sara ntane'e na itu .		
