Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
In kii	one day			un día					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
Ka'an	thought			pensó					Ka'an ña'á ka ntakaninia kua'in ichi .	The woman was thinking and worrying while walking on the road.	La mujer estababa pensando y se preocupava mientre caminaba por el camino.
Nako'on	let's go			vamos					— Nako'on , xíko ko xikui .	Let's go, we're selling milk.	Vamos, vendemos leche.
Naskatsa'an	I will feed			daré a comer	daría a comer				Naskatsa'an kini ka .	I will feed the pig.	Voy a dar comer el puerco.
ntivi	egg			huevo					Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
Ntsio	there was			había					Ntsio in ña'á ntsixikui xikui .	There lived a woman who was a milk vendor.	Había una mujer que vendía leche.
Sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sara	then			y					Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
sara	then			y					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
sara	and then			y					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
sara	then			y					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
ta	when			quando					Ta nine'e xu'un nantakuaan ntivi .	When I get money, I will buy eggs.	Cuando yo consiga dinero, compraré huevos.
ta	when			cuando					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
Ta nia	when it's old			quando está viejo					Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
chuun	chicken			pollo					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
titsi chuún	The chicken's stomach.	chicken		La bariga del pollo.	pollo				Ntivi ka nachikaa yu ña titsi chuún .	I will put the eggs under the chicken.	Pondría los huevo abajo del pollo.
chuún kuachi luu	little baby chickens			pollito					Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
chuún kuachi luu	little chicken	chick		pollito					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
chuún	chicken			pollo					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
ichi	road			el camino					Ka'an ña'á ka ntakaninia kua'in ichi .	The woman was thinking and worrying while walking on the road.	La mujer estababa pensando y se preocupava mientre caminaba por el camino.
in kini	a pig			un cierdo					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
in stiki luu	a small bull			un toro pequeño					Ta nia , nantakuaan in stiki luu .	When it's old, I'll buy a small bull.	Quando está viejo, voy a comprar un pequeño toro.
kuu kuaka xeen inia	she began to tear up			empezó a llorar					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
Sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
sana ka'an	forget			olivide					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
ka'in	she said			dijó					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
ka'in	thought			pensó					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
nikana kava	fell down			se cayó					Sara nikanta ña , mitu'un nikana kava yoo xikui ña ntsicha nti'a .	Then she jumped and all of a sudden she fell down and the pot spilled out all its milk.	Y ella saltó y de repente, se cayó y toda la leche derramó de la olla.
In kii	one day			un día					In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
kii	never			nunca					— nikachia , vari ntsicha nti'i xikui ra ma nine'e kii xu'un .	She said, because all my milk spilled, I will never get money.	Dijó, por causa de que mi leche se derramó yo nunca consigeré dinero.
in kini	a pig			un cierdo					Sara ta nii ti ra naxiko ti , nantakuaan in kini .	Then when it becomes old, I will sell it, I'll buy a pig.	Y cuando se vuelva viejo, yo lo venderé y yo compraría un cierdo.
kini	pig			cierdo					Naskatsa'an kini ka .	I will feed the pig.	Voy a dar comer el puerco.
kini	pig			cierdo					— Sana ka'an xikui , sana ka'an xu'un , sana ka'an ntivi , sana ka'an chuun , sana ka'an kini , sana ka'an stiki luu	Forget the milk, forget the money, forget the eggs, forget the chicken, forget the pig, forget the baby bull.	Olivide la leche, olivide el denaro, olivide los huevos, olivide el pollo, olivide el cierdo, olivide el torocito.
xíko ko	we are selling			vendemos					— Nako'on , xíko ko xikui .	Let's go, we're selling milk.	Vamos, vendemos leche.
kua'in kua'in	she went	she went to the market		fue	fue al mercado				In kii kua'in nuu ya'vi xikui xikui sara ka'in :	One day she went to the market to sell milk and then she said:	Un día fue al mercado para vender leche, y dijó:
kua'in	she walks	she's walking		camina					Ka'an ña'á ka ntakaninia kua'in ichi .	The woman was thinking and worrying while walking on the road.	La mujer estababa pensando y se preocupava mientre caminaba por el camino.
chuún kuachi luu	little baby chickens			pollito					Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
chuún kuachi luu	little chicken	chick		pollito					Ta nta'vi tuku chuún kuachi luu ka , naskatsa'an ti nakua'nu ti , nakukuu ti chuún nii .	When the baby chickens hatch, I will feed them when they grow they'll become big chickens.	Cuando los pollitos nazcan, le daría a comer, cuando el crezca, se volverá pollos viejos.
kuachi	she was happy			estaba feliz					Ñáká ka'in sara ntakaninia sara kuachi .	That woman was thinking and worrying and then she was happy.	Aquella mujer pensaba, y se preocupaba y entonces estaba feliz.
kuu kuaka xeen inia	she began to tear up			empezó a llorar					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
kuu kuaka xeen inia	she began to tear up			empezó a llorar					Sara nikitsaa kuu kuaka xeen inia , sara nikachia :	Then she began to tear up, she then said:	Empezó a llorar y dijó:
chuún kuachi luu	little baby chickens			pollito					Sara nata'vi tuku chuún kuachi luu .	Then the little baby chickens hatch again.	Y los pollitos nazcan de nuevo.
