Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha staa ka ra ntsakui sara sketi kua'in .	And then the tortilla laughed and ran away.	Y la tortilla rió y se fue.
cha				then			y					Cha ñáchaa ka ra nchaa ka katsia sara nikachia :	And then that man (?) to eat the tortilla and said:	
cha				and then			y					Cha staa ka ra ntsakui sara nchika si'i .	Then the tortilla laughed and then hid.	Y la tortilla rió y se escondió.
in kii				one day	once upon a time		érase una vez					In kii ra in ña'á kua'a ta staa nchai .	One day a woman was making a lot of tortillas.	Érase una vez una mujer hacía muchas tortillas.
in				one			una					In staa ka nikana kuku ra ka'nu .	One tortilla came out thick and big.	Una tortilla salió gueso y grande.
kua'in				it went			se fue					Kua'in kayi ka sara ntakita'in tsi in chaa kuika ta .	There it went and then it met with a very rich man.	Se fue y se encontró un hombre muy rico.
kuni yu				I want			quiero					" Kuni yu ña ñasi'i luu yo'o nakatsia yu . "	I want this little girl to eat me.	Quiero que esta pequeña niña me coma.
ntsai				it arrived			llegó					Ntsai in ñuu luu sara niya'i yachi nuu inkaa in ña'á ñá xiko taku sara nikachi ñaña'á ka :	It came to a small town and passed by where a woman selling tacos and that woman said:	Y llegó a un pueblo pequeño y se aproximó a un lugar dondé había una mujer que vendía tacos, y la mujer dijó:
ntsai				it arrived			él llegó					Ntsai yukú ka sara ntakita'in tsi in ntiva'u ñá tsi'i soko .	It arrived in the woods and met with a hungry coyote.	Llegó en el bosque y encontró con un coyote que tenía hambre.
sara				y			then					Sara chain yutu ka inkaa staa ka sara ntsinia kua'an in ñasi'i luu tsi in tsikavichi uun .	Then the tortilla was up in a tree and it saw a small girl coming with an empty basket.	Y la tortilla estaba en un arbol y vio una niña que acercaba con una canasta vacía.
sketi				it ran			corrió					Sketi nuu inkaa ñasi'i luu ka sara nikanti niketi ini tsikavichi ka .	It ran over to the little girl and then jumped and entered the basket.	Corrió hacia la niña y saltó en la canasta.
staa nti'i				fat tortilla			tortilla gorda					Staa nti'i ka ra ma ntsa'i mii katsi ña'á ka .	The fat tortilla did not allow itself to get eaten by the woman.	La tortilla gorda no se permitió a ser comido por la mujer.
staa nti'i				fat tortilla			tortilla gorda					¡ Staa nti'i , kunchatu , kuni yu katsi yo !	Fat tortilla, wait, I want to eat you!	¡Tortilla gorda, vuelve, quiero comerte!
staa nti'i				fat tortilla			tortilla gorda					¡ Staa nti'i , kunchatu , kuni yu katsi yo !	Fat tortilla, come back, I want to eat you!	¡Tortilla gorda, vuelve, quiero comerte!
staa nti'i				fat tortilla			tortilla gorda					¡ Staa nti'i , kunchatu , kuni yu katsi yo !	Fat tortilla, come back, I want to eat you!	¡Tortilla gorda, vuelve, quiero comerte!
staa nti'i				fat tortilla			tortilla gorda					— ¡ Staa nti'i , kunchatu , kuni yu katsi yo !	Fat tortilla, come back, I want to eat you!	¡Tortilla gorda, vuelve, quiero comerte!
ta				when			cuando					Ta ntsinia nuu staa ka sara nikañi :	When he saw the tortilla's face he growled:	Cuando él vi la cara de la tortilla él gruñó:
chaa kuika ta				a very rich man			un hombre muy rico					Kua'in kayi ka sara ntakita'in tsi in chaa kuika ta .	There it went and then it met with a very rich man.	Se fue y se encontró un hombre muy rico.
