Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
américa del sur				South America			América del Sur					Yee in to'lo nani ti " gallo de roca " ña yee ti nuu inka ñuu nania " América del Sur " .	There is a rooster called "cock of the rock" that lives in another land called "South America".	Hay un gallo llamado "el gallo de roca" que vive en un outro país que se llama "America del Sur".
cha				and			y					Cha ntsikana ti su'a : " Kikirikiii " .	And it sang like this: "Kikirikiii".	Y cantaba así: "quiquiriquí".
cha				and then								Cha inka ka kue to'lo ka tsi chata ka ntatsi kueti .	And then all the other roosters and hens chased him away.	Y pues todos los outros gallos y gallinas lo persiguio.
cha				and			y					Cha nuu ntsini kueyi ña inkaa ñasuii luu ka ma'in chikuii .	And there they saw that there was a little boy in the water.	Y alla vieron que había un pequeño niño en la agua.
cha				and			y					Cha kue nivi inka ñuu ntasaxeen na chiin kue to'lo na .	And the people in other towns sharpen the claws of the rooster.	Y la gente en outros pueblos afilan las garras de los gallos.
che'e				beautiful			hermoso	lindo				Che'e ta ntsikana ti ña inka ka kue to'lo ka ntsikuu ka nuu kueyi kani .	It was very beautiful when it sang, the other roosters made him sick.	Era muy lindo quando cantaba, los otros gallos le hiceron enfermar.
In kii				once upon a time			érase una vez					In kii ra nuu ñuu yo'o ntsio in to'lo tumi kua'a tsi kuaan tono nikanchii .	One upon a time in this town, there was a rooster who had red and yellow feathers like the sun lived in this town.	Érase una vez en este pueblo, vivía un gallo con plumas rojas y amarillas como el sól.
In kii				one day			un día					In kii ra vitsi nchu'a so ra nikuun savi cha niki'in kue'e ti .	One day it was extremely cold, it was raining and he got sick.	Un día era muy frío, lloraba y él se enfermo.
kikirikiii		onomonapeia		cockadoodledoo			quiquiriquí	cocorocó				Cha ntsikana ti su'a : " Kikirikiii " .	And it sang like this: "Kikirikiii".	Y cantaba así: "quiquiriquí".
Kumi ti				it (animal) has			él (animal) tiene					Kumi ti tumi ntiya'a .	It (animal) has brown feathers.	Él (animal) tiene plumas marrones.
Kuni na				they want			quieren					Kuni na satu'va na to'lo na takua kaka na'a ti tsi inka kue to'lo .	They want to prepare their rooster to fight other roosters.	Quierent preparar su gallo luchar con otros gallos.
Meu				you	you are		tú	tú eres				— Meu kuu in to'lo ña va'a ka ñuu yo'o .	You are the best rooster in this town.	Eres el mejor gallo en este pueblo.
Nti'i so				all			todo					Nti'i so kue nivi ka kuacha na tsi ti .	All of the people were happy with it.	Toda la gente eran felices con él.
Nti'i so				all	every		todos	cada				Nti'i so to'lo ka kumi ti chiin sata tsa'a ti .	All the roosters have claws on the back of their feet.	Todos los gallos tienen garras en el fondo de sus pies.
Ntsa'an				went	it (animal) went		fue	él (animal) fue				Ntsa'an ti ika ntuche'e ti tsa'a kue nivi ka takua natatsi na ti .	It went there and pecked at the peoples feet so they would chase him.	Fue allí y picoteó a las pies de la gente entonces lo ahuyentaron.
Ntsio				there was			había					Ntsio in viko ñuu ka .	There was a party in the town.	Había una fiesta en el pueblo.
nuu				there			allí					Nuu nti'i kueyi nchinchii ñasuii luu ka .	They all stood there with the boy. They all stood there looking at the boy.	Todos se pararon allí con el niño.
saan				given this			dado este					Saan ra kua'an mitu'un ti yucha , sara ntsini ti in ñasuii luu inkai ma'in chikuii .	With all of this, he went alone to the lake, then he saw a little boy was there in the middle of the water.	Dado todo este, él fue solo al lago, pues él vio un niño estaba alli en la agua.
sara				then			y					Sara kue nivi ka ntasama na si'vi ñuu ka .	Then the people decided to change the name of the town.	Y la gente cambiaron el nombre del pueblo.
sara				then			y					Sara skunani na ña " To'lo ña kue kana ka " .	Then they named it: "The rooster that doesn't sing".	Y lo llamaron: "El gallo que no canta".
ta				when			quando					Ta nikuni ti kana ti ra ma nikuu ka sara nikana ti su'a : " Kukerekuuu " .	When it wanted to sing it couldn't and then it sang like this: "Kukerekuuu".	Quando quería cantar no pudo, y pues canto así: "Kukerekuuu".
to'lo				the rooster			El gallo							
To'lo				rooster	The rooster that doesn't sing		gallo	El gallo que no canta				Sara skunani na ña " To'lo ña kue kana ka " .	Then they named it: "The rooster that doesn't sing".	Y lo llamaron: "El gallo que no canta".
Tsa'a ña				because of the fact that	because		a causa de					Tsa'a ña niku'u ti , vari vá'a ka ti kukuu ti nchai .	Because of the fact that he was sick, he would become food.	Por lo que se había enfermado, empexa a ser comida.
yee				there is			hay					Yee in to'lo nani ti " gallo de roca " ña yee ti nuu inka ñuu nania " América del Sur " .	There is a rooster called "cock of the rock" that lives in another land called "South America".	Hay un gallo llamado "el gallo de roca" que vive en un outro país que se llama "America del Sur".
a				or			o					To'lo ka kumi ti siin siin si'vi tono " gallo dorado " a " gallo de roca " .	Roosters have different names like:"golden rooster" or "rock rooster".	Los gallos tienen nombres diferentes como: "gallo dorado" o "gallo de roca".
cha				and			y					In kii ra vitsi nchu'a so ra nikuun savi cha niki'in kue'e ti .	One day it was extremely cold, it was raining and he got sick.	Un día era muy frío, lloraba y él se enfermo.
chata				roosters	hen		gallos	gallina				Cha inka ka kue to'lo ka tsi chata ka ntatsi kueti .	And then all the other roosters and hens chased him away.	Y pues todos los outros gallos y gallinas lo persiguio.
