Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and then			y					Cha ia ka ntasaa nchu'a ra .	And then her husband got really mad.	Y su esposo se enojó mucho.
cha				then			y					Cha niki'in ra in kutsi cha nikaa ra ña kuu yuku suku ka ña inkaa ñuu yo'o , nani Yuku Kuasa .	Then he grabbed a bow and arrow and climbed up a tall hill to where there was a town called Yuku Kuasa.	Y él agarró un arco y flecha y escaló una montaña alto adonde había un pueblo llamado Yuku Kuasa.
cha				and			y					Cha ika ntsito ra ichi nchii tsio kua'an ña tsi inka chaa .	There he kept watchover the path where she went with the other man.	Allí vigiló el camino para donde ella se fue con el otro hombre.
ika				there			allí					Ika ntsatsi na tichi tono ika ntsitsa'an na .	There they ate avocados as they were there eating.	Allí comieron aguacates mientras comían allí.
ika				there			alí					Ika ntitatu na vari nikuita xeen na , tsa'a ña ntsika tsa'a kuena .	There they rested because they were very tired from walking on their feet.	Allí descansaron porque estaban muy cansados de caminar.
yoso inkua'a		what are: "Yoso" and "Inkua'a"?										Cha ika ntsicha nii na tsa'a yutú ka cha ñuu ka nintoi nania Yoso Inkua'a .		
krusi tutichi		what are the parts "Krusi" + "Tutichi"										Cha nintoo tintuu tichi ka ña vichi nania Krusi Tutichi .	And they left behind avocado pits, and now it's called "Krusi Tutichi".	Y dejaron atras huesos de aguacate, y ahora se llama "Krusi Tutichi".
yuku kuasa		what is "kuasa"? Is this a real place?										Cha niki'in ra in kutsi cha nikaa ra ña kuu yuku suku ka ña inkaa ñuu yo'o , nani Yuku Kuasa .	Then he grabbed a bow and arrow and climbed up a tall hill to where there was a town called Yuku Kuasa.	Y él agarró un arco y flecha y escaló una montaña alto adonde había un pueblo llamado Yuku Kuasa.
yukú kuasa		what is "Kuasa"?										Cha ii ña'a ka inkaa ra mancha Yukú Kuasa tsito ra ichi , cha ntsini ra ña kua'an kuena .	And the woman's husband was there at the edge of Yuku Kuasa keeping watch of the road, then he saw them walking.	Y el esposo de la mujer estaba a las afueras de Yuku Kuasa vigilando el camino, pues él les vio caminando
kuu tu'un ña				it is said that			se dice che					Kuu tu'un ña kantu'u in yuú , yuú numi ta'an , kuu yuú nintoo nuu ñuu nani Yoso Inkua'a .	It is said that there sits a rock, a rock that is in an embrace, it is a rock (?) in a town, called "Yoso Inkua'a".	
ntsaa na				they arrived			llegaron					Ntsaa na in nuu ntaa nuu va'a yee .	They arrived at a plain where it was very beautiful.	Llegaron a una llanura donde era muy bonita.
ntsikaa		climbed up to (why no person inflection?) how to translate to spanish?		climbed			escalaron					Ntsikaa in yutú ka'nu .	They came up to a large woods.	Escalaron un gran bosque.
ntsinu		this is more of a participle and isn't really inflected as shown in spanish		finished	they finished eating		acabaron	acabaron de comer				Ntsinu ntsitsa'an na cha niki'in kuena ichi kua'an na .	They finished eating and they hit the road and left.	Acabaron de comer y daron el camino y se fueron.
ntsinu ntsichi na				they finished bathing			acabaron de bañarse					Ntsinu ntsichi na ntsinu ntakacha na ra niki'in na ichi kua'an tuku na .	They finished bathing, finished washing clothes and then they hit the road and left again.	Acabaron de bañarse, acabaron de lavar ropas y pues daron el camino y se fue de nuevo.
ntsio kuena				they lived			vivieron					Ntsio iin kuena yee ntuta'an cha nikee ña'a ka kua'in tsi inka chaa .	They lived (?) and they were married and the woman left and went away with another man.	
ra		then? as in "sara"?										Ra ñaka kuni yu stakoo ña , takua kue nivi tsaa , kue sukuachi , kuena sna'a nuu kue sukuachi nantakani na ña nuu kuetsi , takua ma naa tu'un yata sa'an ntavi ñoo .		
yo'o				here			aqui					Yo'o nantakani in tu'un yata ña nikuu nisa'a kue nivi na ntsintee ta tsa na'a .	Here I tell an old tale about something that happened and what some people that lived a long time ago did.	
yo'o				this			este					Yo'o ninti'i tu'un ña'a kua'an tsi inka chaa , kachi kue nivi yata luu ka , ntakani na nuu ko .	This was (?) the story of the woman who left with another man, that people told to us.	
cha				and then			pues					Ika nikuu yoko , cha ntsaa na iin nuu kana chikuii cha ntava na nama ntsichi na ntakacha na .	There it became hot, and then they arrived at a place where there was water gushing out, and they took out soap and they showered and washed their clothes.	Allí se calentó, y pues llegaron a un lugar donde agua salía a chorros, y sacaron sabón, y se ducharon y lavaron sus ropas.
cha				and then			y pues					Cha ika nuu ntsini ra ña ntsaa kuena ntitatu na kati ika , cha nikini ra kue nivi ka ta kanumi ta'an na .	And there he saw that they came and were resting there in the shade. And then he shot the people when they were holding eachother.	Y cuando vio que
chaa				man			hombre					Ntsio iin kuena yee ntuta'an cha nikee ña'a ka kua'in tsi inka chaa .	They lived (?) and they were married and the woman left and went away with another man.	
chaa				man	the man she ran away with		hombre	el hombre con quien se fue				Cha ñaka niki'an ichi kua'in cha ntsai tsi chaa kua'an tsian ka nuu ntee nchu'a yuú .	And that woman who went away left and arrived with the man she ran away with at a place where there were a lot of rocks lying around.	
chikuii				water			agua					Ika nikuu yoko , cha ntsaa na iin nuu kana chikuii cha ntava na nama ntsichi na ntakacha na .	There it became hot, and then they arrived at a place where there was water gushing out, and they took out soap and they showered and washed their clothes.	Allí se calentó, y pues llegaron a un lugar donde agua salía a chorros, y sacaron sabón, y se ducharon y lavaron sus ropas.
ia				her husband			su esposo					Cha ia ka ntasaa nchu'a ra .	And then her husband got really mad.	Y su esposo se enojó mucho.
ichi				path			camino					Cha ika ntsito ra ichi nchii tsio kua'an ña tsi inka chaa .	There he kept watchover the path where she went with the other man.	Allí vigiló el camino para donde ella se fue con el otro hombre.
niki'an ichi				hit the road			dio el camino					Cha ñaka niki'an ichi kua'in cha ntsai tsi chaa kua'an tsian ka nuu ntee nchu'a yuú .	And that woman who went away left and arrived with the man she ran away with at a place where there were a lot of rocks lying around.	
niki'in kuena ichi				they hit the road			daron el camino					Ntsinu ntsitsa'an na cha niki'in kuena ichi kua'an na .	They finished eating and they hit the road and left.	Acabaron de comer y daron el camino y se fueron.
niki'in na ichi				they hit the road			daron el camino					Ntsinu ntsichi na ntsinu ntakacha na ra niki'in na ichi kua'an tuku na .	They finished bathing, finished washing clothes and then they hit the road and left again.	Acabaron de bañarse, acabaron de lavar ropas y pues daron el camino y se fue de nuevo.
ii				husband	the woman's husband		esposo	el esposo de la mujer				Cha ii ña'a ka inkaa ra mancha Yukú Kuasa tsito ra ichi , cha ntsini ra ña kua'an kuena .	And the woman's husband was there at the edge of Yuku Kuasa keeping watch of the road, then he saw them walking.	Y el esposo de la mujer estaba a las afueras de Yuku Kuasa vigilando el camino, pues él les vio caminando
