Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha nuu nikuu tsika kuera tsian , cha nikitsaa kuera in yukú , in yukú suku .	And when they were able to get far with it they arrived at a forest, a very tall forest.	Y cuando pudieron ir lejos con ella, llegaron a un bosque, un bosque muy alto.
ika				there			allí					Ika ntsa'an ntakuaan kuera kaa kaxi , nuu nine'e kuera ña .	They went there to buy a bell, when they took it.	Ellos se fueron allí para comprar una campana, cuando la agarron.
yukú kaa				Bell Forest			Bosque de la campana					Yukú nuu nikaxi kaa ika vichi nania Yukú Kaa .	The forest where it rang is now called "Bell Forest".	Hoy en día el bosque donde sonó la campana se llama "Bosque de la campana".
yukú nchika		what is "Nchika" here? 'hidden forest'?		hidden forest								Yukú ka ra inkai chi nuu inkaa Yukú Nchika , nuu ituu ñu'u ncha'i ñuu yo'o tsi Seen .	The forest was towards the forest "Yuku Nchika", where this town's land borders with Pinotepa nacional park.	El bosque era hacia el bosque "Yuku Nchika", donde el territorio de este pueblo se limita con Pinoteca nacional.
yucha ncho'o				Puebla			Puebla					Nikee kuena ntsa'an na ñuu Yucha Ncho'o .	They left and went to Puebla city.	Dejaron y fieron a ciudad Puebla.
nikee kuena				they left			dejaron					Nikee kuena ntsa'an na ñuu Yucha Ncho'o .	They left and went to Puebla city.	Dejaron y fieron a ciudad Puebla.
ntakani ini na				they thought			pensaron					Ntakani ini na nixi kitsi kaa skaxi na veñu'u ñuu .	They thought about how to bring a metal bell to the town's church.	Pensaron de como traer una campana metal a la iglesia del pueblo.
ntakuisa				carried			cargaron					Ntakuisa sata kuera ña vatsi kuera , cha vee nchu'i .	They carried it on their backs and went on their way, and it was very heavy.	La cargaron en sus espaldas y seguiron adelante y era muy pessada.
nti'i kuena				everyone			todos					Nti'i kuena ntsini ña ta nikuun savi ra nikani ra , cha nikuu tu'un ña nikitsi tatsa savi .		
seen				Pinotepa nacional park			Pinotepa nacional					Yukú ka ra inkai chi nuu inkaa Yukú Nchika , nuu ituu ñu'u ncha'i ñuu yo'o tsi Seen .	The forest was towards the forest "Yuku Nchika", where this town's land borders with Pinotepa nacional park.	El bosque era hacia el bosque "Yuku Nchika", donde el territorio de este pueblo se limita con Pinoteca nacional.
skuina				stolen	the spirit of the stolen bell		robado	el sepirito de la campana robada				Skuina ntusu kaa ñuu yo'o , cha nchisi ña kua'in ñuu nani Yoko .	The spirit of our town's stolen bell then carried it and went to a town called Yoko.	El espirito de la campana robada de nuestro pueblo la cargó y se fue a un pueblo llamado Yoko.
ta tsa na'a				a long time ago			hace mucho tiempo					Ta tsa na'a ntsintoyo nivi ntaku nchu'a ntsio na , ntsikuu kuena nivi na'nu , suku ntsio na .		
