Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
a'an				no			no					— A'an , nkunchee kuisa yo vari vee nchu'u .	I will not help carry you because you are too heavy.	No voy ayudar cargarte porqué eres demasiado pessado.
amigu				friend			amigo					— ¡ Amigu , na'a yo'o !	Friend, come here!	¡Amigo, ven aquí!
cha				then			y					Cha nikachi tikaka ka :	And then the crow said:	Pues dijó el cuervo:
cha				and			y					Cha nikachi lochi ka :	and the buzzard said:	y el zopilote dijó:
chanu va'a				why			por qué					— ¿ Chanu va'a tsaku ku ?	Why are you crying?	¿Por qué estas llorando?
chanu va'a				how come			por qué					— ¿ Chanu va'a nchisu ño'o ra vee nchu'i ?	Why are you carying that guy, he's so heavy?	¿Por qué estas cargando eso, es tan pessado?
iin kii				one day			un día					Iin kii ra nikii yu'u laguna ñantu'i nchatui ya'a in tikaka ra kaki ñamani ña nakuisi ña , sara ku'in kaka nui .	One day it came out from the lagoon and sat down and waited to a favor from a crow to carry something, then he walked toward it. 	Un día salió de la laguna y se sentó y esperó....un cuervo...
in kii				one day			un día					In kii ra ntsio in ntintsitsa kaka xeen nuu in laguna .	One day there was a turtle that was walking around all over a lagoon.	
kuni yu				I want	I really want		quiero	quiero realmente				Kuni ta yu ku'un yu .	I really want to go.	Quiero realmente a ir.
nchíí				where			adonde					— ¿ Nchíí kunu ?	Where are you going?	¿Adonde vas?
nku'un yu		1sg.pot.neg		I won't go	I will not go		no voy a ir					Nku'un yu tsiun	I will not go with you.	No voy a ir contigo.
ntisaan so kii				everyday	always		cada día					Ntisaan so kii yee kuaka ña vari kunia ku'in kaka nui ra kue kuu kaka tsai .	Everyday he cried because he wanted to go for a walk but he could not walk fast.	Cada día lloraba porque quiería salir a caminar pero no podía caminar rápido.
ra				then			pues					Ra ntintsitsa ka kuacha xiin ra nikachia su'a :	And then the turtle was very happy and then said the following:	Y la tortuga estaba muy feliz y dijó el siguente:
sa'u ñamani				do me a favor			hágame un favor					— Sa'u ñamani , kuisa yu nako'on kaka noo vari kuni ta yu ku'un yu ra kue kuu kaka tsaa .	Do me a favor, carry me and let's go for a stroll because I really want to go but I can't walk fast enough.	Hágame un favor, cargame y vamos ir a passear porque quiero realmente pero no puedo caminar bastante rápido. 
sara				and			y					Sara ta ntane'e nui ra ntsinia in tikaka ra nikuacha xiin ra nikani su'a :	And when it saw a crow it was very happy and then said the following:	Y cuando vió un cuervo estaba muy feliz y dijó el siguente:
tatsavi kueni		2nd.pl.form		thank you			gracias					— ¡ Tatsavi kueni !	Thank you!	¡Gracias a ustedes!
tatu				if			se					— Tatu kunu ku'un ra nako'on , cha ma kuaku vari tutsi ini yu sa'u .	If you want to go, let's go, and don't cry because your feelings were hurt.	Se quieres a ir, vamos, y no llores porque tus sentimientos estaban heridos.
tsaku				I'm crying			estoy llorando					— Tsaku vari tikaka ka ma nikunia kuisi yu ku'un yu cha kuni ta yu kaka nuu tsian .	I'm crying because the crow didn't want to carry me and I really want to go for a stroll with him.	Estoy llorando porque el cuervo no quería cargarme y quiero realmente ir a pasear con él.
vari				because			porque					— ¡ Vari kue vixi kui tono meuuuu .... !		
vichi				now			ahora					Vichi ra kunkuni yu nixi xoo kaa ñuu yo'o tsi xoo ka sata yukú ka .		
yo'o				this			este					— Yo'o tiun tuun che'e so cha ma ka'un vari yau .	(Bite/hold on) to this with your mouth and don't talk because you will fall.	(Muerde/aguanta) esto con la boca y no hables porque cayerás.
che'e		(why not che'u)?		beak			pico					— Yo'o tiun tuun che'e so cha ma ka'un vari yau .	(Bite/hold on) to this with your mouth and don't talk because you will fall.	(Muerde/aguanta) esto con la boca y no hables porque cayerás.
yu'u chikuii				bank of the lagoon			orilla del laguna					Sara ntintsitsa ka ntutsi xeen inia ra nikitsai tsakui ñantu'i yu'u chikuii .	Then the turtle's feeling were hurt and it began to cry sitting on the bank of the lagoon.	Y los sentimientos de la tortuga estaban heridos y empezó a llorar sentado a la orilla de la laguna.
ichi				path			camino					Sara nikitsaa uvi lochi ichi koyi ra ntsinia ña tsaku ntintsitsa ka , ra ntsa'an kui nintaka tu'in ra nikachia :	Then two buzzards arrived on the path and they saw that the turtle was crying, then they approached and asked:	Y dos zopilotes llegaron en el camino y vieron que la tortuga estaba llorando y se acercaron y preguntaron:
sava ichi				along the path	halfway along the path		por el camino					Ra kua'an kueyi sava ichi sara ntakita'in tsi tikaka ka ra nikachi tikaka ka tsi kue lochi ka :	And they went up the path and then they ran into the crow, and the crow said to the buzzards:	Y iban por el camino y encontraron el cuervo, y el cuervo dijó a los zopilotes:
nuu in laguna				in a lagoon			en una laguna					In kii ra ntsio in ntintsitsa kaka xeen nuu in laguna .	One day there was a turtle that was walking around all over a lagoon.	
in				a			un					Sara ta ntane'e nui ra ntsinia in tikaka ra nikuacha xiin ra nikani su'a :	And when it saw a crow it was very happy and then said the following:	Y cuando vió un cuervo estaba muy feliz y dijó el siguente:
tutsi ini yu sa'u				your feelings were hurt			tus sentimiento estaban heridos					— Tatu kunu ku'un ra nako'on , cha ma kuaku vari tutsi ini yu sa'u .	If you want to go, let's go, and don't cry because your feelings were hurt.	Se quieres a ir, vamos, y no llores porque tus sentimientos estaban heridos.
ntutsi xeen inia				feelings were hurt			sentimientos estaban heridos					Sara ntintsitsa ka ntutsi xeen inia ra nikitsai tsakui ñantu'i yu'u chikuii .	Then the turtle's feeling were hurt and it began to cry sitting on the bank of the lagoon.	Y los sentimientos de la tortuga estaban heridos y empezó a llorar sentado a la orilla de la laguna.
xoo ka		is this "xoo ka(a)"? and should there be another "a" in "ka"?										Vichi ra kunkuni yu nixi xoo kaa ñuu yo'o tsi xoo ka sata yukú ka .		
ka				turtle			tortuga					Ra ntsini so'o ntintsitsa ka ra nikachia :	And the turtle heard and said:	Y oyó la tortuga y dijó:
ka'in				speaks			habla					Ñaka ka'in sara nikana kavi mancha nuu ñu'ú .	It spoke and then it fell all the way down to the ground.	Habló y pues se cayó todo el camino hacia la tierra.
ma ka'un				don't speak			no hables					— Yo'o tiun tuun che'e so cha ma ka'un vari yau .	(Bite/hold on) to this with your mouth and don't talk because you will fall.	(Muerde/aguanta) esto con la boca y no hables porque cayerás.
xoo kaa		is "xoo kaa" an expression?										Vichi ra kunkuni yu nixi xoo kaa ñuu yo'o tsi xoo ka sata yukú ka .		
kaka xeen		is this 'walking around'?										In kii ra ntsio in ntintsitsa kaka xeen nuu in laguna .	One day there was a turtle that was walking around all over a lagoon.	
ku'in kaka nui				goes for a walk			sale a caminar					Ntisaan so kii yee kuaka ña vari kunia ku'in kaka nui ra kue kuu kaka tsai .	Everyday he cried because he wanted to go for a walk but he could not walk fast.	Cada día lloraba porque quiería salir a caminar pero no podía caminar rápido.
kaka				walk			camina					Ntisaan so kii yee kuaka ña vari kunia ku'in kaka nui ra kue kuu kaka tsai .	Everyday he cried because he wanted to go for a walk but he could not walk fast.	Cada día lloraba porque quiería salir a caminar pero no podía caminar rápido.
ku'in kaka				came walking	came walking towards it		caminó	caminó hacia a él.				Iin kii ra nikii yu'u laguna ñantu'i nchatui ya'a in tikaka ra kaki ñamani ña nakuisi ña , sara ku'in kaka nui .	One day it came out from the lagoon and sat down and waited to a favor from a crow to carry something, then he walked toward it. 	Un día salió de la laguna y se sentó y esperó....un cuervo...
nako'on kaka noo		"noo" literally 'face' 1pl.excl (?)		let's go walk around	we walk around		vamos ir a pasear	vamos a pasear				— Sa'u ñamani , kuisa yu nako'on kaka noo vari kuni ta yu ku'un yu ra kue kuu kaka tsaa .	Do me a favor, carry me and let's go for a stroll because I really want to go but I can't walk fast enough.	Hágame un favor, cargame y vamos ir a passear porque quiero realmente pero no puedo caminar bastante rápido. 
kue kuu kaka tsaa		double check 1sg for this verb (google sheet?)		I cannot walk fast	I can't walk fast	walk	no puedo caminar rápido	caminar				— Sa'u ñamani , kuisa yu nako'on kaka noo vari kuni ta yu ku'un yu ra kue kuu kaka tsaa .	Do me a favor, carry me and let's go for a stroll because I really want to go but I can't walk fast enough.	Hágame un favor, cargame y vamos ir a passear porque quiero realmente pero no puedo caminar bastante rápido. 
kaka nuu		is this uniflected? How is "kaka" inflected for 1sg?		go on a walk			ir a pasear					— Tsaku vari tikaka ka ma nikunia kuisi yu ku'un yu cha kuni ta yu kaka nuu tsian .	I'm crying because the crow didn't want to carry me and I really want to go for a stroll with him.	Estoy llorando porque el cuervo no quería cargarme y quiero realmente ir a pasear con él.
kaki ñamani		get parsing of all parts! ask a favor "kaki ñamani ña"?		ask a favor			pedir un favor					Iin kii ra nikii yu'u laguna ñantu'i nchatui ya'a in tikaka ra kaki ñamani ña nakuisi ña , sara ku'in kaka nui .	One day it came out from the lagoon and sat down and waited to a favor from a crow to carry something, then he walked toward it. 	Un día salió de la laguna y se sentó y esperó....un cuervo...
nikana kavi				fell			se cayó					Ñaka ka'in sara nikana kavi mancha nuu ñu'ú .	It spoke and then it fell all the way down to the ground.	Habló y pues se cayó todo el camino hacia la tierra.
in kii				one day			un día					In kii ra ntsio in ntintsitsa kaka xeen nuu in laguna .	One day there was a turtle that was walking around all over a lagoon.	
ntisaan so kii				everyday	always		cada día					Ntisaan so kii yee kuaka ña vari kunia ku'in kaka nui ra kue kuu kaka tsai .	Everyday he cried because he wanted to go for a walk but he could not walk fast.	Cada día lloraba porque quiería salir a caminar pero no podía caminar rápido.
iin kii				one day			un día					Iin kii ra nikii yu'u laguna ñantu'i nchatui ya'a in tikaka ra kaki ñamani ña nakuisi ña , sara ku'in kaka nui .	One day it came out from the lagoon and sat down and waited to a favor from a crow to carry something, then he walked toward it. 	Un día salió de la laguna y se sentó y esperó....un cuervo...
koyi				they			ellos					Sara nikitsaa uvi lochi ichi koyi ra ntsinia ña tsaku ntintsitsa ka , ra ntsa'an kui nintaka tu'in ra nikachia :	Then two buzzards arrived on the path and they saw that the turtle was crying, then they approached and asked:	Y dos zopilotes llegaron en el camino y vieron que la tortuga estaba llorando y se acercaron y preguntaron:
tsaku ku				you cry	you are crying		estas llorando	lloras				— ¿ Chanu va'a tsaku ku ?	Why are you crying?	¿Por qué estas llorando?
ku'in kaka nui				goes for a walk			sale a caminar					Ntisaan so kii yee kuaka ña vari kunia ku'in kaka nui ra kue kuu kaka tsai .	Everyday he cried because he wanted to go for a walk but he could not walk fast.	Cada día lloraba porque quiería salir a caminar pero no podía caminar rápido.
