Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ntakuaan ra kumi lurru .	And he brought four donkeys.	Y él compró cuatro burros.
in kii				one day			un día					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
in				one			un					In lurru tsi u'un lurru , ¿ nisa kui ?	One donkey plus five donkeys, how much does that make?	Un burro y cinco burros, ¿cuanto igual?
kantu'u				sitting			hay					Kantu'u  ______ yoo nuu ñu'u .	There are  ______ sacks on the ground.	Hay  ______ sacos por la tierra.
kuena				they			ellos					— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
kui												Kui  ____________ .		
mee				I			yo					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
				Let's count			Contamos					Na ntaka'vi ko		
nchiso ti				it's carrying			carga					Nchiso ti _____________ yoo .	It's carrying _______ sacks.	Carga _______ sacos.
nisa				how many			cuantos					¿ Nisa yoo nchiso lurru ?	How many sacks is the donkey carrying?	¿Cuantos sacos carga el burro?
ntaa xeen		GET!										Ntaa xeen ka'an kue nivi :		
ntakuaan yu				I bought			compré					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
sara				then			y					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
ta				when			cuando					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
uni				three			tres					Uni lurru tsi u'un lurru , ¿ nisa kui ?	Three donkeys plus five donkeys, how many does that make?	Tres burros y cinco burros, ¿cuanto igual?
uvi				two			dos					Uvi tsi iñu , ¿ nisa kui ?	How much does two plus six make?	¿Cuanto igual dos y seis?
vaii				darn			caramba					— ¡ Vaii !	Darn!	¡Caramba!
cha				then			entonces					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
chaa				man			hombre					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
chacha		GET!		(chacha)?								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
sava ichi				half way along the path			mitad camino					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
				one of them (animals)			un de ellos (animales)					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
in ti				one of them			uno de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
inkaa				there were			habían					Cha ntsakui ra vari ntsinia ña inkaa kumi lurru ka kuu , sara nikachia :	And he laughed because he saw that there were four donkeys, then he said:	Y se rió porque vió que habían cuatro burros y dijó:
iñu				six			seis					Uvi tsi iñu , ¿ nisa kui ?	How much does two plus six make?	¿Cuanto igual dos y seis?
ka'an				say			dice					Ntaa xeen ka'an kue nivi :		
kaa		CHECK!		(BE?)								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
kai		CHECK!		?								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
kantu'u				sit			son situados					¿ Nisa yoo kantu'u nuu ñu'u ?	How many sacks are sitting on the ground?	¿Cuantos sacos son situados por la tierra?
in kii				one day			un día					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
kiti				animal			animal					— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
koo		check!		without								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
kuacha nchu'a ra				he was very happy			estaba muy feliz					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
				the people			la gente					Ntaa xeen ka'an kue nivi :		
kui				is it			igual					Uvi tsi iñu , ¿ nisa kui ?	How much does two plus six make?	¿Cuanto igual dos y seis?
kui				is it			igual					Uni lurru tsi u'un lurru , ¿ nisa kui ?	Three donkeys plus five donkeys, how many does that make?	Tres burros y cinco burros, ¿cuanto igual?
kui				is it			igual					In lurru tsi u'un lurru , ¿ nisa kui ?	One donkey plus five donkeys, how much does that make?	Un burro y cinco burros, ¿cuanto igual?
kumani				was missing			faltó					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
kumi				four			cuatro					Cha ntakuaan ra kumi lurru .	And he brought four donkeys.	Y él compró cuatro burros.
kuu				it was			había					Cha kuu uni ntaa ti ntsinche'e ra .	And he saw that there were only three of them.	Y vió que habían solamente tres de ellos.
kuu				there are			hay					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
meu kuu				you are			tú eres					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
lurru				donkey			burro					Cha ntakuaan ra kumi lurru .	And he brought four donkeys.	Y él compró cuatro burros.
lurru ra				his donkey			su burro					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
meu kuu				you are			tú eres					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
skuina na				someone stole			alguien robó					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
nche'e				I see			veo					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
nchiso				carries			carga					¿ Nisa yoo nchiso lurru ?	How many sacks is the donkey carrying?	¿Cuantos sacos carga el burro?
kuacha nchu'a ra				he was very happy			estaba muy feliz					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
nika'an ra				he realized			él se dió cuenta de					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
nikachi ra				he said	he said to his wife		él dijó	él dijó a su esposa				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nikachia				said			dijó					Cha ntsakui ra vari ntsinia ña inkaa kumi lurru ka kuu , sara nikachia :	And he laughed because he saw that there were four donkeys, then he said:	Y se rió porque vió que habían cuatro burros y dijó:
nikitsaa ra				he began			él empezó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
nikitsaa ra				he started			él empezó					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
nisa				how much			cuanto					Uvi tsi iñu , ¿ nisa kui ?	How much does two plus six make?	¿Cuanto igual dos y seis?
				the people			la gente					Ntaa xeen ka'an kue nivi :		
ntaa				exactly	exactly three of them		exactamente	exactamente tres de ellos				Cha kuu uni ntaa ti ntsinche'e ra .	And he saw that there were only three of them.	Y vió que habían solamente tres de ellos.
ntaka'vi ra				he counted			él contó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
				let's count			contamos					Na ntaka'vi ko	Let's count	Contamos
				Let's count			Contamos					Na ntaka'vi ko		
ntakuaan ra				he bought			él compró					Cha ntakuaan ra kumi lurru .	And he brought four donkeys.	Y él compró cuatro burros.
ntanchiko ra				he returned			volvió					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
ntatsaa ra				he arrived	he got home		él llegó	él llegó a case				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nto'i				happened to him			passó a él					— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
ntsa'an ra				he went			fue					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
ntsaa ra				he arrived			él llegó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
ntsakui ra				he laughed			él se rió					Cha ntsakui ra vari ntsinia ña inkaa kumi lurru ka kuu , sara nikachia :	And he laughed because he saw that there were four donkeys, then he said:	Y se rió porque vió que habían cuatro burros y dijó:
ntsinche'e ra				he was seeing			él veía					Cha kuu uni ntaa ti ntsinche'e ra .	And he saw that there were only three of them.	Y vió que habían solamente tres de ellos.
ntsinia				saw			vió					Cha ntsakui ra vari ntsinia ña inkaa kumi lurru ka kuu , sara nikachia :	And he laughed because he saw that there were four donkeys, then he said:	Y se rió porque vió que habían cuatro burros y dijó:
ntsoo so ra				he rode			él montó					Sara ntsoo so ra in lurru cha tatsi ra uni lurru .	Then he rode one donkey and he followed the three donkeys.	Y él montó un burro y siguió los tres burros.
nikachi ra nuu ñasi'i ra				he said to his wife			él dijó a su esposa					Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nuu				on	on the ground		en	por la tierra				¿ Nisa yoo kantu'u nuu ñu'u ?	How many sacks are sitting on the ground?	¿Cuantos sacos son situados por la tierra?
nuu				on			en					Kantu'u  ______ yoo nuu ñu'u .	There are  ______ sacks on the ground.	Hay  ______ sacos por la tierra.
nuya'vi		decomposition: "nuu"+"ya'vi"		plaza			plaza					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
ntsa'an ra				he went			fue					In kii in chaa ntsa'an ra nuya'vi .	One day a man went to the plaza.	Un día un hombre fue a la plaza.
ntakuaan ra				he bought			él compró					Cha ntakuaan ra kumi lurru .	And he brought four donkeys.	Y él compró cuatro burros.
ntanchiko ra				he returned			volvió					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
ve'e ra				his home	home		his casa	a casa				Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
kuacha nchu'a ra				he was very happy			estaba muy feliz					Sara ntanchiko ra ve'e ra kuacha nchu'a ra .	Then he then returned home very happy.	Y volvió a casa muy feliz.
ntsoo so ra				he rode			él montó					Sara ntsoo so ra in lurru cha tatsi ra uni lurru .	Then he rode one donkey and he followed the three donkeys.	Y él montó un burro y siguió los tres burros.
tatsi ra				he followed			él siguió					Sara ntsoo so ra in lurru cha tatsi ra uni lurru .	Then he rode one donkey and he followed the three donkeys.	Y él montó un burro y siguió los tres burros.
ntsaa ra				he arrived			él llegó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
nikitsaa ra				he began			él empezó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
ntaka'vi ra				he counted			él contó					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
ntsinche'e ra				he was seeing			él veía					Cha kuu uni ntaa ti ntsinche'e ra .	And he saw that there were only three of them.	Y vió que habían solamente tres de ellos.
nika'an ra				he realized			él se dió cuenta de					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
lurru ra				his donkey			su burro					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
nikitsaa ra				he started			él empezó					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
tsaku ra				he cried			él lloró					Sara nika'an ra ña kumani in lurru ra , sara nikitsaa ra tsaku ra .	Then he realized that one of his donkeys was missing, he then started to cry.	Y se dío cuenta de que falta un de sus burros, y empezó a llorar.
ntatsaa ra				he arrived	he got home		él llegó	él llegó a case				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
ntatsaa ra ve'e ra				he got home	his house		él llegó a case	su casa				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nikachi ra				he said	he said to his wife		él dijó	él dijó a su esposa				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
nikachi ra nuu ñasi'i ra				he said to his wife	his wife		él dijó a su esposa	su esposa				Ta ntatsaa ra ve'e ra , cha nikachi ra nuu ñasi'i ra :	When he got home he said to his wife:	Cuando llegó a casa, él dijó a su esposa:
ntsakui ra				he laughed			él se rió					Cha ntsakui ra vari ntsinia ña inkaa kumi lurru ka kuu , sara nikachia :	And he laughed because he saw that there were four donkeys, then he said:	Y se rió porque vió que habían cuatro burros y dijó:
saan		check		as(?)								— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
sava ichi				half way along the path			mitad camino					Ta ntsaa ra sava ichi , cha nikitsaa ra ntaka'vi ra lurru ka .	When he was half way along the path, he began to count the donkeys.	Cuando llegó a mitad camino, empezó a contar los burros.
skuina na				someone stole			alguien robó					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
ntsoo so ra				he rode			él montó					Sara ntsoo so ra in lurru cha tatsi ra uni lurru .	Then he rode one donkey and he followed the three donkeys.	Y él montó un burro y siguió los tres burros.
su'a				like so			así					— Kuena chacha su'a nto'i , tono kaa kiti ka ña koo xini ti saan kai .		
tatsi ra				he followed			él siguió					Sara ntsoo so ra in lurru cha tatsi ra uni lurru .	Then he rode one donkey and he followed the three donkeys.	Y él montó un burro y siguió los tres burros.
tatsu				follow			sigue					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
uni ti				four of them (animals)			cuatro de ellos (animales)					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
				one of them (animals)			un de ellos (animales)					— Ntakuaan yu kumi lurru , cha vichi ra vaa uni ti kuu vari skuina na in ti .	I bought four donkeys and now there are only three of them because they stole one.	Yo compré cuatro burros y ahora hay solamente tres porqué me robaron uno de ellos.
in ti				one of them			uno de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
uni ti				three of them			tres de ellos					Mee ra nche'e u'un lurru vari in ti yosu , cha uni ti tatsu cha meu kuu u'un ti .	I see five donkeys because one of them is (myself(?)), and three of them 	Yo veo cinco burros porque uno de ellos es (?), y tres de ellos siguen, y tú haces cinco.
