Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
aan				yes			sí					— Aan , tsini yu in ña'a :	Yes, I want that.	Si, quiero esto.
cha				and			y					Cha ntsaa kueyi ra nikitsai kai nuu kuai sara kua'in kueeni kueeni vari yu'i kana kavi .	And then they arrived and began climbing up the stairs and walking little by little because in order to not fall down.	Y llegaron y empezaron a escalar las escaleras caminando poco a poco para que no se caigan.
in kii				one day			un día					In kii nikana na ntinuni ntintsitsa ka in viko tanta'a .	One day someone invited all three turtles to a wedding party.	Un día alguien invitó todos las tres torgugas a una fiesta de boda.
inka chancha				the next time	another time		la próxima vez					— Inka chancha nakana tuku na kue , ku'un kue ra nakaka kue kueeni kueeni .	The next time they invite us back, we'll go and we should walk little by little.	La proxima vez que nos invitan de nuevo, vamos a ir y deberíamos caminar poco a poco.
nikitsaa				arrived			llegó					Nikitsaa kii ña kunku'un kueyi viko ka ra ntsichi kueyi , ntasama kueyi sara ntaka'ia yu'i , ntachi'a xiko , ntachi kai siki suki .	The day of the party arrived and they showered, they changed clothes, put on lipstick, sprayed perfume and put on thier necklaces.	Llegó el día de la fiesta, se ducharon, se cambiaron las ropas, se pusieron pintalabios, rociaron perfume y llevaron sus collares.
sara				then			y					Sara nikitsaa kue ntintsitsa ka kuacha xeen kueyi , ra nikanta tu'un kueyi :	Then the turtles arrived and they were very happy, then they said:	Y las tortugas llegaron y estaban muy felizes, y pues dijeron:
ta				when			cuando					Ta kuskuai inka tsa'i ra niya'a tsa'i nikana kavi mancha nuu tsinu tsa'a kuai ka .	When they took another step it slipped and fell all the way to the bottom of the stairs.	Cuando dió un otro paso, resbaló y se cayó todo el camino al fondo de las escaleras.
ta tsa				when			cuando					Ta tsa kantu'i nuu ñu'u ntsini so'i in ntusu yu'u :	When they were sitting on the ground they heard a sound from the door:	Cuando se sentaban por el piso oyeron un sonido de la puerta: 
tatu				if			se					— Tatu nako'on viko ka ra tsini ñu'u ko ntakuaan ña ntaka'i yu'u ko tsi in xiko tsi siki suku .	If we go to the party, we have to buy ourselves lipstick, perfume and a necklace	Se vamos a la fiesta, tenemos que comprarnos pintalabios, un perfume y un collar.
utsa				seven			siete					Utsa kuia sa'i sana ntatsinu kueyi .	There were seven stairs to do before they would reach the end.	Habían siete escalones a hacer antes que lleguen al fin.
