Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
a'an				no			no					— A'an , kue kuni yu katsi kolo	No, I don't want to eat turkey.	No, no quiero comer guajolote.
cha				and then			y					Cha in kii nikachi ntiva'u ka :	Then one day the coyote said:	Y un día el coyote dijó:
cha				and			y					Cha ntukatsi ini sto'o ntikachi , ntaki'in na tutsi'u na sara sketa na .	And it began to eat inside the owners sheep, so he (the owner) picked up his rifle and ran.	Y empezó a comer las ovejas del dueño adentro, entonces (el dueño) recogó su rifle y salió corriendo.
ika				there			allí					Ika va'a ntsitsa'an kueyi , ntsatsi kueyi meeso kiti yuku .	There they ate well, they ate all the wild animals of the forest.	Allí comieron bien, comieron todos los animales del bosque.
in kii				one day			un día					In kii in tina nii kue nitsi'an ki ra nikachi sto'i :	One day an old dog that did not howl and his owner said: 	Un día un perro viejo que no aulló y su dueño dijó:
kua'in				went			se fue					Kua'in mancha yuku ka ntuki tika katsia , vari tsi'i xiin soko .	He went up to the forest to look for crickets to eat because he was very hungry.	Él fue al bosque para buscar grillos a comer por qué tenía mucho hambre.
ma				will not			no					— Ma kua'a ka staa katsia , vari kue tsi'an ki .	I will not feed him anymore because he doesn't bark.	No voy le dar a comer porque él no ladra.
meu				I			yo					Meu kunchau ye'e .	I'll guard the door.	Vigilo la puerta.
na'a				come			ven					— Na'a , nako'on ve'e .	Come, let's go home.	Ven, vamos a casa.
naki'vi				I'll enter			yo voy a entrar	entraré				— Naki'vi ini tsaku , ntantuku ntikachi nti'i ka .	I'll go into the corral and look for where all the sheep are.	Yo entraré en al coral y buscaré a dónde estan todas las ovejas.
nako'on				let's go			vamos					Nako'on ra katsu kuñu takua nantunti'u .	Let's go, you'll eat meat so that you can get fat.	Vamos, vas a comer carne para que engordes.
nako'on				let's go			vamos					— Nako'on skuina ko ntikachi nakatso .	Let's go snatch a sheep to eat.	Vamos agarrar una oveja para comer.
naskuina ko				let's grab			agarremos					— Naskuina ko kolo yo'o .	Let's grab this turkey.	Agarremos este guajolote.
naskuina ko				let's grab			agarramos					— Naskuina ko in litu yo'o .	Let's grab a lamb here.	Agarremos un cordero aquí.
natatso		why does this end with "-o"? What is the gloss form? How does it inflect? why does this end with "-o"? What is the gloss form? How does it inflect?		he chased			ahuyentó					Natatso ña naku'in .	He chased him away.	Lo ahuyentó, y se fue.
nchii				what			qué					— ¿ Nchii sa'u , ñani ?	What are you doing brother?	Qué estas haciendo hermano?
nikitsaa na				he arrived			llegó					Nikitsaa na nuu iin tsaku ntikachi , cha ta niketa ntiva'u ka ra nikini na ti .	He arrived to where there was a sheep crying out and when the coyote got up and then he shot it.	Llegó adonde había una oveja gritando y al momento que se levantó el coyote, le disparó.
niya'a kueyi				they approached			se aproximaron	se acercaron				Niya'a kueyi yachi in tsaku nuu ntee kue ntucha tsi kue litu ra nikachi tina ka :	The approached near a cry in where goats and lambs were, the dog said:	Se aproximaron un grito cercano dónde vivieron cabras y corderos, u el perro dijó:
ntakuu ini na		Structure of phrase: "nta-" 'began' + "takuu ini" 'love' + (A) + (U) Structure of phrase: "nta-" 'began' + "takuu ini" 'love' + (A) + (U)		he began to love	from then he loved		empezó amar	desde entonces amó				Ntakuu ini na ti icha'ncha .	He began to love it forever. From then on he loved it forever.	Empezó amarlo para siempre Desde entonces el lo amaba para siempre.
ntsio kueyi				they arrived			llegaron					Ntsio kueyi na'a xeen sara nikuu mpaa kueyi .	They arrived after a long time and then they were friends.	Llegaron después de mucho tiempo.
ra				then			entonces					— Ra kua'an kueyi .	So they went.	Entonces se fueron.
sara				then			y					Sara ntsini so'o tina ka ntutsi xeen inia ra kua'in .	Then the dog heard this and his feelings were hurt and then he left.	Y el perro lo oyó y este herió sus sentimientos y entonces se fue.
sara				then			y entonces					Sara nikachi tina ka :	Then the dog said:	Y el perro dijó:
ta				when			cuando					Ta ntsai yuku ka ntakita'in tsi in ntiva'u .	When he arrived in the woods he met with a coyote.	Cuando lleguó en el bosque, encontró un coyote.
ta				when	the moment that		al momento que					Ta ntakuni na cha tina na kuu ti sara nikuacha xeen na tsi ti .	When he recognized that it was his dog he was really happy.	Al momento que se lo reconoció que era su perro estaba muy contento con él.
tatsavu				Thank you.			Gracias.					Tatsavu .		
va'a ni				great			bueno					— Va'a ni , nako'on .	Good, let's go.	Bueno, vamos.
				good			bueno					— Va'a ni , nako'on .	Good, let's go.	Bueno, vamos.
yo'o				here			aquí					— Yo'o ntuku tika katsi vari tsi'i xeen soko , vari sto'o yu nikuntasia yu tsa'a ña nii .	I'm looking for crickets to eat here because I'm very hungry. My owner was disgusted with me because I'm old.	Estoy buscando grillos a comer porque tengo mucho hambre. My dueño estaba harto conmigo porque soy viejo.
cha		should this be "chaa" as in 'the man'? and if so, shouldn't it then be "chaa ka"?		?			?					Ta ntakuni na cha tina na kuu ti sara nikuacha xeen na tsi ti .	When he recognized that it was his dog he was really happy.	Al momento que se lo reconoció que era su perro estaba muy contento con él.
icha'ncha				forever			para siempre					Ntakuu ini na ti icha'ncha .	He began to love it forever. From then on he loved it forever.	Empezó amarlo para siempre Desde entonces el lo amaba para siempre.
iin		check that this is the verb 'there is' 'hay' check that this is the verb 'there is' 'hay'		there was			había					Ta ntsai nuu iin tsaku ntikachi ra nikachi ntiva'u ka :	When the arrived where a sheep was crying, the coyote said: 	Cuando llegaron adonde había una oveja gritando, el coyote dijó:
iin				there was			había					Nikitsaa na nuu iin tsaku ntikachi , cha ta niketa ntiva'u ka ra nikini na ti .	He arrived to where there was a sheep crying out and when the coyote got up and then he shot it.	Llegó adonde había una oveja gritando y al momento que se levantó el coyote, le disparó.
in				a			un					In kii in tina nii kue nitsi'an ki ra nikachi sto'i :	One day an old dog that did not howl and his owner said: 	Un día un perro viejo que no aulló y su dueño dijó:
