Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
amigu				friend			amigo					— Amigu , kunu'u yu vari kuni xeen kusu yu .	Friend, I'm going to leave because I'm very tired.	Amigo, voy irme por qué estoy muy cansado.
amiku				friend			amigo					— Amiku sa'va , ¿ a nchanchee inkau yo'o ?	Friend frog, have you been here since the early morning?	Amigo rana, ¿tu has estado aqui desde temprano?
cha				and			y					Cha viko ka kunkukui nuu suku xeen ka vikó .	And the party will be really high up in the clouds.	Y la fiesta va a ser a muy gran altura en las nubes.
in kii				one day			un día					In kii , amigu lochi nikani sa'va ka ku'in in viko tanta'a .	One day the vulture friend invited the frog to go to a wedding party.	Un día el amigo zopilote le invitó la rana a ir a una fiesta de boda.
inka tuku kii				later that day	the next day							Inka tuku kii , lochi ka nikana tuki sa'va ka inka tuku viko nuu vikó .	Later that day, the buzzard again invited the frog to another party in the clouds.	Más tarde en el día, el zopilote le invitó de nuevo la rana a una otra fiesta en las nubes. 
lochi				vulture			zopilote					Lochi ka niki'an nto'i ra kua'in ntantuki sa'va ka .	The vulture picked up it's basket and went looking for the frog.	El zopilote recogó su tenate y se fue buscando el rana.
nako'on				let's go			vamos					Nako'on sa'va , kunkusii inu —	Let's go frog, you'll have a good time.	Vayamos rana, te vas a gozar.
nii ntuu so				all day long			todo el día					Nii ntuu so ntsika koyi ve'e nuu vikó .	They walked all day long to the house in the clouds.	Caminaron todo el día a la casa en las nubes.
nikunuu		get phrase! "kunuu"?	this is a verb right?!	time had passed			after some tim	después de un rato				Nikunuu lochi ka ntantuki nto'i takua nu'i vi'i .	After some time, the buzzard found his basket in order to go home.	Después de un rato, el zopilote, encontré su cesta para irse a case.
nixi				how			como					¿ Nixi kunuu ? "	How will I get down?	¿Como voy a subir?
ntavi ta				flew a lot			voló mucho					Ntavi ta sa'va , nikana kavi mancha nuu vikó ni'i xeen niyai nuu ñu'u .	The frog flew a lot, and it fell down rapidly from the clouds and fell to the ground.	La rana voló mucho, cayó todo el camino de las nubes y cayó a
ntsika koyi				they stood			estaban en pie					Ntsika koyi nuu viko ntsain yaa .	They were standing (in the clouds | at the party) dancing.	Estaban (en las nubes | a la fiesta) bailando.
saka		what is "saka"?										— Saka nuu nikitsaa yu nchatu yo	(?)  I arrived I waited for you.	(?)
sana				again			de nuevo					Sana ka'an toko .	Talk to you later.	Hasta luego.
sara				then			pues					Sara sa'va ka kue nitsita'an inia kaka ña mani .	Then the frog didn't want to ask a favor.	Pues el rana no le gustó pedir un favor.
sara				then			y					Sara sa'va ka ntanchiko tuki ini nto'o , ra ntsinchatui takua nakitsaa lochi ka snuu ña ña .	And then the frog got back into the basket and waited for the buzzard to leave and to bring it down from the clouds.	Y la rana volvió en el tenate y esperó para el zopilote a partir y bajarlo.
ta kuni				before			antes					Ta kuni ka kitsaa ñayivi , kue sa'va ka ntsikui tono in ntivi .	Before the Earth began, frogs used to be shaped like an egg.	Antes de la tierra empezó, las ranas tenían la forma de un huevo.
ta				when			cuando					Ta ntsai vikó ka , sara nikee sa'va ka ini nto'o sara nikachia :	When he got to the clouds, the frog came out from the basket and said:	Cuando llegó en las nubes, la rana salió del tenate y dijó:
ta kuaa				around	at about		aproximamente					Ta kuaa ka uni xchaan , sa'va ka nikachia tsi lochi ka :	At about 3am, the frog said to the buzzard:	A aproximamente las tres de la mañana, la rana dijó al zopilote:
ta tsa				when			cuando					Ta tsa kuu nini sa'va ka nikachia :	When it was late the frog said:	Quando era tarde la rana dijó:
taku				hello			hola					— Taku , amigu lochi .	Hello my buzzard friend.	Hola mi amigo zopilote.
tiempu saan				at this time			en este tiempo					Tiempu saan , amigu va'a ka sa'va ka kuu lochi .	At this time, the frog's best friend was the buzzard.	En este tiempo, el mejor amigo de la rana era el zopilote.
tsa'a ña				because of that			por eso					Tsa'a ña , kue sa'va yee vichi tiyaxi chi'i tsino .	Because of that, frogs now are very flat looking as we know them today.	Por eso las ranas hoy en día son muy planas como las conocemos.
tsio saan				so it happened			así sucedío					Tsio saan , nikuu ntitsai vi'i , cha ma ntsini lochi ka ña nintoo sa'va ka .	And so it happened, when he arrived at his house, that the buzzard didn't know that he had left the frog behind.	Así sucedió, cuando él llegó a casa, el zopilote no sabía que dejó la rana atrás.
tsio saan				so it happened			así sucedío					Tsio saan , sa'va ka nikee tuki ini nto'o .	And so it happened, the frog got out again of the basket again.	Así sucedío, la rana salió de nuevo del tenate
va'a				good			bueno					— Va'a kunkoo ,	That will be good,	Va a ser bueno,
va'a ni				good			bueno					— Va'a ni amigu , nako'on .	Perfect friend, let's go.	Bueno amigo, vamos.
