Filename	Segment label	Beginning	End	H1-H2	H1-A1	H1-A2	H1-A3	H1-H2	H1-A1	H1-A2	H1-A3	H1-H2	H1-A1	H1-A2	H1-A3	
ADJ_blue_01_spkrJS	H	0.34209754855889724	0.6756587958644278	-3.655518879518411	-11.486744690018675	-0.9460840226867475	11.65448046822754	1.2303136432131794	-7.303731499855779	0.3885970439791109	20.810586080644907	-0.3644394204049419	0.36998503718778153	6.177989603909154	20.634829465295198	
ADJ_blue_02_spkrJS	H	0.2776246370578461	0.6213248631338534	-4.148971907641112	-11.626545345741043	1.7306520709905087	14.622799719165776	-3.5650600400232264	-5.203586880749846	4.138556830837636	16.53081444387249	2.6665836161574603	5.321168774157108	10.036301471010475	23.828206625098442	
ADJ_dangerous_01_spkrJS	F_R	0.29884889632936507	0.6793250819288389	-14.056092465102168	-11.975697883338327	-4.133845368922557	-0.018317863081840358	-11.607953137877352	-12.472806624325173	-6.2709050306039344	6.101371412775897	-10.74453562751144	0.635091855987092	-0.8945870898909902	8.903755239151828	
ADJ_dangerous_02_spkrJS	R	0.3444738531747821	0.7079364859925142	-11.300594098683604	-11.140780598089506	-4.291468329649582	4.917615941758893	-14.829251034456107	-13.729523393605348	-2.8744091389169384	5.611591084122054	-7.176855115652792	1.1715960723091072	6.529808623431801	13.547340636745709	
ADJ_green_01_spkrJS	E	0.19549957999476145	0.27617119646728144	-7.753312839462751	-7.753312839462751	15.313618145542826	20.27606685911156	-10.641479576542288	-10.641479576542288	21.392427849055508	20.395747923609118	-11.823770635135837	-11.823770635135837	16.087326767985545	15.65250889617155	
ADJ_green_01_spkrJS	F	0.2813758168848634	0.3802636048189202	-10.140614304974989	-10.140614304974989	11.1852020120701	10.75726802106091	-12.626190344842485	-12.626190344842485	6.532678802596735	8.800978284347384	-20.21725191874577	-20.02141879073506	4.489733246013259	4.338706756269236	
ADJ_green_01_spkrJS	R	0.4019495232255116	0.6613131073683447	-18.188676237599203	-12.537915006955785	9.77604560898855	6.300748648160127	-16.070094136428885	-12.966261229397858	6.103495636308985	7.979054394530781	-10.666831062162927	-8.541997884234604	13.57771757705595	10.541337860110204	
ADJ_new_01_spkrJS	R_F	0.21663772199453551	0.6413064279066096	-19.75793125653113	-22.579733772689828	-17.07723859130636	-9.137452000714596	-5.711605605079065	-3.3036041197169865	9.769738952210616	18.030695535991857	-7.042314568999977	-1.2027491187550012	4.110768028263195	10.589431443113472	
ADJ_new_01_spkrTS	R_F	0.13092602437759335	0.3526689618644068	-3.5741275399740076	-19.292925800853247	-8.279445541599138	-2.9250371328520544	-2.2100622399641026	-9.15023558888845	1.338519466311908	13.268021109866108	2.4783422839001332	-3.4062356466825463	-0.9274466991179509	16.825956685590604	
ADJ_new_02_spkrJS	R_F	0.15572865047606108	0.543485234401117	-17.99613186429942	-20.073848090118894	-18.588209620124566	-8.470585609856307	-6.439959487628791	-4.439368373725955	-0.2528574526703622	16.99838743690099	-10.602558025885855	-12.588907947545685	-0.8448055211945587	6.482260642584379	
